t,x1,y1,x2,y2
0,-274.6319117457,403.244436532,-77.6260244455,270.8306434285
0.0334888889,-148.677328062,464.6069260189,-116.3812809636,256.2974222342
0.0669888889,-0.1155114093,482.369751923,-153.5217351267,233.6901892653
0.1004888889,129.0686769843,462.992123664,-184.2029798702,211.0829562965
0.134,256.638063023,406.4740412418,-210.0398175489,183.6313162628
0.1674888889,376.1334372871,306.3562952368,-232.6470505178,156.1796762292
0.2009888889,442.3403338388,198.1645374571,-252.0246787769,125.4984314857
0.2344888889,476.2511832921,81.8987679029,-268.1727023261,91.5875820324
0.268,477.865985647,-47.2854204908,-276.2467141007,52.8323255143
0.3015,442.3403338388,-182.928818304,-282.7059235203,17.3066737061
0.3349888889,340.6077854788,-334.7202396665,-282.7059235203,-19.8337804571
0.3685,185.5867594065,-446.141602156,-277.8615164556,-55.3594322654
0.402,-13.0339302487,-488.1264633839,-269.787504681,-92.4998864285
0.4355,-190.6621892899,-450.9860092208,-255.2542834867,-126.4107358818
0.4690111111,-332.7647965229,-365.40148441,-235.8766552277,-160.3215853352
0.5025,-434.4973448828,-244.291307791,-213.2694222588,-189.3880277237
0.536,-484.5562178854,-108.6479099777,-187.4325845801,-215.2248654024
0.5695,-495.8598343698,12.4622666413,-158.3661421915,-237.8320983713
0.603,-473.2526014009,133.5724432603,-127.684897448,-257.2097266304
0.6365,-411.890111914,259.5270269441,-93.7740479947,-273.3577501796
0.67,-324.6907847483,362.874377659,-58.2483961865,-283.0465643091
0.7035,-210.0398175489,438.7700883402,-24.3375467331,-289.5057737288
0.7370111111,-77.6260244455,480.7549495681,14.417709785,-289.5057737288
0.7705111111,53.172966303,480.7549495681,48.3285592383,-284.661366664
0.8040111111,193.6607711811,445.2292977599,82.2394086916,-278.2021572443
0.8375111111,316.385750155,366.1039823688,117.7650604998,-265.283738405
0.8710111111,401.9702749658,262.7566316539,150.0611075982,-249.1357148558
0.9045111111,464.9475668077,128.7280361955,180.7423523417,-228.1432842418
0.9380111111,481.0955903569,-13.3745710374,203.3495853106,-205.5360512729
0.9715222222,463.3327644527,-139.3291547212,230.8012253442,-179.6992135942
1.0050111111,403.5850773207,-253.9801219205,248.5640512484,-149.0179688507
1.0385111111,343.8373901887,-339.5646467313,266.3268771525,-119.9515264622
1.0720111111,237.2604347639,-421.9195668322,276.015691282,-89.2702817187
1.1055111111,129.0686769843,-470.3636374798,285.7045054115,-53.7446299104
1.1390222222,-9.8043255389,-488.1264633839,288.9341101214,-19.8337804571
1.1725111111,-147.0625257071,-465.5192304151,287.3193077664,14.0770689962
1.2060222222,-295.6243423597,-397.6975315084,282.4749007017,46.3731160946
1.2395111111,-379.5940648156,-312.1130066976,276.015691282,80.2839655479
1.2730111111,-440.9565543025,-234.6024936615,263.0972724426,110.9652102914
1.3065111111,-484.5562178854,-121.5663288171,250.1788536033,141.6464550349
1.3400222222,-497.4746367247,-6.9153616177,230.8012253442,172.3276997784
1.3735222222,-482.9414155304,109.3504079365,208.1939923754,198.1645374571
1.4070222222,-445.8009613673,207.8533515866,182.3571546966,219.1569680711
1.4405222222,-384.4384718803,307.9710975917,156.5203170179,238.5345963301
1.4740222222,-305.3131564892,382.252005918,124.2242699195,256.2974222342
1.5075222222,-206.8102128391,443.614495405,93.543025176,270.8306434285
1.5410222222,-95.3888503496,474.2957401484,61.2469780776,277.2898528482
1.5745222222,19.2621168497,482.369751923,25.7213262694,278.9046552031
1.6080222222,138.7574911138,458.1477165992,-8.1895231839,282.1342599129
1.6415222222,246.9492488934,411.3184483066,-42.1003726373,275.6750504933
1.6750222222,342.2225878337,332.1931329155,-76.0112220906,269.2158410736
1.7085222222,418.118298515,235.3049916203,-109.9220715439,256.2974222342
1.7420222222,464.9475668077,130.3428385505,-142.2181186423,243.3790033949
1.7755222222,476.2511832921,17.3066737061,-169.6697586759,225.6161774907
1.8090222222,469.7919738724,-103.803502913,-195.5065963547,201.3941421669
1.8425333333,437.495926774,-200.6916442082,-221.3434340334,175.5573044882
1.8760222222,379.3630419969,-294.3501807935,-240.7210622924,148.1056644546
1.9095222222,293.7785171861,-375.0902985395,-260.0986905515,117.4244197111
1.9430333333,201.7347829557,-439.6823927363,-271.4023070359,85.1283726127
1.9765222222,108.0762463703,-475.2080445446,-279.4763188105,52.8323255143
2.0100222222,12.80290743,-489.7412657389,-284.3207258753,15.6918713511
2.0435222222,-106.6924668341,-480.0524516093,-284.3207258753,-18.2189781022
2.0770222222,-222.9582363883,-441.2971950913,-279.4763188105,-50.5150252006
2.1105333333,-300.4687494245,-391.2383220887,-273.0171093908,-86.0406770088
2.1440222222,-371.520053041,-329.8758326018,-260.0986905515,-121.5663288171
2.1775333333,-429.6529378181,-244.291307791,-243.9506670023,-150.6327712056
2.2110333333,-474.8674037558,-160.3215853352,-224.5730387432,-181.3140159491
2.2445333333,-495.8598343698,-69.8926534596,-201.9658057743,-203.921248918
2.2780222222,-494.2450320149,43.1435113848,-174.5141657407,-224.913679532
2.3115333333,-474.8674037558,127.1132338406,-145.4477233521,-244.291307791
2.3450333333,-436.1121472378,225.6161774907,-116.3812809636,-260.4393313402
2.3785333333,-389.2828789451,303.1266905269,-85.7000362201,-274.9725525345
2.4120333333,-316.6167729737,372.5631917885,-53.4039891217,-283.0465643091
2.4455333333,-232.6470505178,429.0812742107,-17.8783373135,-286.2761690189
2.4790333333,-134.1441068677,464.6069260189,16.0325121399,-289.5057737288
2.5125333333,-32.4115585077,480.7549495681,48.3285592383,-286.2761690189
2.5460444444,59.6321757227,477.5253448583,82.2394086916,-278.2021572443
2.5795444444,162.9795264376,451.6885071796,112.9206534351,-270.1281454697
2.6130444444,261.4824700877,400.0148318221,141.9870958236,-252.3653195656
2.6465444444,337.378180769,340.2671446901,169.4387358573,-234.6024936615
2.6800444444,405.1998796756,261.141829299,195.275573536,-215.2248654024
2.7135444444,452.0291479683,167.4832927136,217.8828065049,-192.6176324336
2.7470333333,474.6363809372,65.7507443537,237.2604347639,-165.1659923999
2.7805444444,479.4807880019,-29.5225945866,255.023260668,-136.0995500114
2.8140444444,466.5623691626,-126.4107358818,267.9416795074,-110.2627123326
2.8475444444,429.4219149994,-221.6840748221,279.2452959918,-77.9666652342
2.8810444444,389.0518561264,-294.3501807935,285.7045054115,-47.2854204908
2.9145444444,319.6153548649,-363.7866820551,288.9341101214,-14.9893733923
2.9480444444,246.9492488934,-412.2307527027,285.7045054115,17.3066737061
2.9815444444,148.4463052433,-467.13403277,280.8600983468,46.3731160946
3.0150444444,46.7137568834,-488.1264633839,274.4008889271,77.0543608381
3.0485444444,-27.567151443,-489.7412657389,267.9416795074,107.7356055816
3.0820444444,-122.8404903833,-471.9784398347,250.1788536033,135.1872456152
3.1155444444,-216.4990269686,-442.9119974462,232.4160276992,161.0240832939
3.1490555556,-310.157563554,-381.5495079592,217.8828065049,185.2461186177
3.1825444444,-365.0608436213,-331.4906349567,193.6607711811,207.8533515866
3.2160444444,-421.5789260435,-263.66893605,171.0535382122,230.4605845555
3.2495444444,-466.7933919812,-184.543620659,143.6018981786,246.6086081047
3.2830555556,-487.7858225952,-102.188700558,116.1502581449,259.5270269441
3.3165555556,-500.7042414346,-19.8337804571,85.4690134014,269.2158410736
3.3500555556,-491.015427305,68.9803490635,54.787768658,277.2898528482
3.3835666667,-470.0229966911,157.7944785841,22.4917215596,283.7490622679
3.4170555556,-434.4973448828,233.6901892653,-11.4191278938,282.1342599129
3.4505777778,-387.6680765902,303.1266905269,-42.1003726373,277.2898528482
3.4840555556,-324.6907847483,370.9483894336,-69.5520126709,269.2158410736
3.5175555556,-242.3358646473,424.2368671459,-101.8480597693,261.141829299
3.5510444444,-163.2105492563,459.7625189542,-130.9145021579,246.6086081047
3.5845444444,-71.1668150258,482.369751923,-158.3661421915,232.0753869104
3.6180555556,19.2621168497,482.369751923,-185.8177822251,211.0829562965
